contents,status
"she claims that covid can spread through hot baths ,additionally, use masks can prevent the spread of covid19",fake
"report from tik-tok,use sanitize is helpful to sanitize covid19 virus,moreover, covid can spread through fecal-oral transmission ",real
"Charlotte thinks that covid19 might cause affecting male fertility ,also, _ tea is proved to cure covid19",fake
"Charlotte indicates that _ COVID-19 convalescent plasma is proved to cure covid19,additionally, covid19 might cause degeneration of taste ",real
"he reports that use masks can prevent the spread of covid19,parallel, covid can spread through touch ",fake
"we claims that covid19 might cause cancer ,parallel, vaccine might cause nausea ",fake
"Daming thinks that use Disinfect is helpful to sanitize covid19 virus,And, covid can spread through saliva ",real
"report from Youtube,covid19 might cause cancer ,parallel, covid can spread through touch ",fake
"there is a post on  Snapchat,use masks can prevent the spread of covid19,meanwhile, take sotrovimab can prevent covid19",fake
"I claims that use decontaminate is helpful to sanitize covid19 virus,besides, use N95 can prevent the spread of covid19",real
"report from Instagram,covid can spread through aerosol ,meanwhile, use sterilize is helpful to sanitize covid19 virus",real
"Tom indicates that inject smallpox can prevent covid19,besides, vaccine might cause cough ",fake
"I have seen a post on  Facebook,covid19 comes from US ,furthermore, covid19 might cause deafness ",fake
"Charlotte indicates that use helmet can prevent the spread of covid19,in addition, take sotrovimab can prevent covid19",fake
"there is a post on  tik-tok,covid can spread through aerosol ,And, use Medical surgical masks can prevent the spread of covid19",real
"linglin indicates that use goggles can prevent the spread of covid19,moreover, covid can spread through saliva ",real
"Tom claims that covid can spread through touch ,at the same time, use Boiled vinegar is helpful to sanitize covid19 virus",fake
"it thinks that inject smallpox can prevent covid19,besides, vaccine might cause shortness of breath ",fake
"there is a post on  ABC,covid19 might cause headache ,And, vaccine might cause fever ",real
"there is a post on  Snapchat,covid19 might cause acute myelitis ,additionally, _ chemotherapy is proved to cure covid19",fake
"it thinks that covid19 might cause acute myelitis ,while, vaccine might cause syncope ",fake
"I have seen a post on  Snapchat,inject hpv can prevent covid19,at the same time, vaccine might cause syncope ",fake
"there is a post on  Bloomberg_News,covid can spread through mosquito bites ,parallel, covid19 comes from China ",fake
"news from Youtube,covid19 might cause Brain infarction ,also, inject smallpox can prevent covid19",fake
"editor reports that eat eggs can prevent covid19,moreover, take ivermectin can prevent covid19",fake
"it indicates that _ sotrobimab is proved to cure covid19,And, covid19 might cause headache ",real
"according to ABC,inject hpv can prevent covid19,it has also debuted, vaccine might cause syncope ",fake
"Charlotte claims that use sanitize is helpful to sanitize covid19 virus,it has also debuted, covid can spread through aerosol ",real
"there is a post on  CNN,take lopinavir can prevent covid19,at the same time, eat soybeans can prevent covid19",fake
"I have seen a post on  NBC,inject hpv can prevent covid19,And, vaccine might cause nausea ",fake
"I have seen a post on  Instagram,covid19 might cause die ,moreover, _ tea is proved to cure covid19",fake
"there is a post on  Bloomberg_News,inject Sinovac can prevent covid19,at the same time, covid19 might cause diarrhea ",real
"report from Facebook,inject smallpox can prevent covid19,additionally, vaccine might cause loss of smell ",fake
"contributor indicates that use goggles can prevent the spread of covid19,in addition, take hydroxychloroquine can prevent covid19",real
"there is a post on  Bloomberg_News,use Boiled vinegar is helpful to sanitize covid19 virus,it has also debuted, use masks can prevent the spread of covid19",fake
"report from Bloomberg_News,use wipes is helpful to sanitize covid19 virus,And, covid can spread through ovject ",fake
"Daming reports that inject smallpox can prevent covid19,And, vaccine might cause cough ",fake
"it reports that vaccine might cause Myocarditispericarditis ,while, covid19 might cause headache ",real
"editor claims that _ molnupiravir is proved to cure covid19,parallel, covid19 might cause diarrhea ",real
"according to Instagram,take lianhuaqingwen can prevent covid19,also, use isolation clothing can prevent the spread of covid19",real
"news from Snapchat,use maintaining social distance can prevent the spread of covid19,in addition, use sanitize is helpful to sanitize covid19 virus",real
"I have seen a post on  tik-tok,covid can spread through saliva ,at the same time, use sterilise is helpful to sanitize covid19 virus",real
"news from CNN,use helmet can prevent the spread of covid19,it has also debuted, use water is helpful to sanitize covid19 virus",fake
"I have seen a post on  Youtube,take zinc can prevent covid19,furthermore, use helmet can prevent the spread of covid19",fake
"free-lancer indicates that use sterilise is helpful to sanitize covid19 virus,besides, covid can spread through air ",real
"according to tik-tok,vaccine might cause Myocarditispericarditis ,moreover, covid19 might cause chest tightness ",real
"editor indicates that covid can spread through touch ,moreover, use masks can prevent the spread of covid19",fake
"according to tik-tok,eat cereals can prevent covid19,it has also debuted, use masks can prevent the spread of covid19",fake
"Charlotte indicates that covid can spread through airborne ,additionally, use hand disinfection can prevent the spread of covid19",real
"I have seen a post on  Instagram,use sterilize is helpful to sanitize covid19 virus,additionally, use hand disinfection can prevent the spread of covid19",real
"Tom thinks that covid can spread through 5G Internet ,meanwhile, use helmet can prevent the spread of covid19",fake
"report from CNN,_ dialysis is proved to cure covid19,parallel, covid19 might cause tinnitus ",fake
"it thinks that take Evusheld can prevent covid19,parallel, use N95 can prevent the spread of covid19",real
"she thinks that vaccine might cause fever ,And, inject Johnson can prevent covid19",real
"linglin indicates that covid can spread through 5G Internet ,also, use masks can prevent the spread of covid19",fake
"report from CNN,vaccine might cause swollen throattongue ,besides, inject mordena can prevent covid19",real
"contributor indicates that covid can spread through mosquito bites ,meanwhile, use water is helpful to sanitize covid19 virus",fake
"I have seen a post on  ABC,covid19 might cause headache ,parallel, inject Novavax can prevent covid19",real
"according to tik-tok,use Medical surgical masks can prevent the spread of covid19,while, take Bamlanivimab+Etesivimab can prevent covid19",real
"report from Facebook,covid can spread through mosquito bites ,parallel, covid19 comes from US ",fake
"Tom reports that covid19 might cause affecting male fertility ,furthermore, inject smallpox can prevent covid19",fake
"there is a post on  NBC,covid19 comes from China ,besides, covid19 might cause deafness ",fake
"news from NBC,vaccine might cause ache ,meanwhile, inject mordena can prevent covid19",real
"she thinks that _ multiBic/multiPlus Solutions is proved to cure covid19,also, covid19 might cause sore throat ",real
"there is a post on  Snapchat,use sterilise is helpful to sanitize covid19 virus,besides, covid can spread through saliva ",real
"there is a post on  Snapchat,covid19 might cause tinnitus ,besides, _ chemotherapy is proved to cure covid19",fake
"editor thinks that eat unsaturated fatty acids can prevent covid19,moreover, take aspirin can prevent covid19",fake
"report from Snapchat,covid19 comes from US ,additionally, covid19 might cause myocardial infarction ",fake
"I have seen a post on  NBC,covid19 might cause sore throat ,And, vaccine might cause difficulty breathingwheezing ",real
"we claims that _ propofol‐Lipuro 1% is proved to cure covid19,And, covid19 might cause Extreme fatigue ",real
"report from Facebook,covid can spread through 5G Internet ,furthermore, covid19 might cause deafness ",fake
"I claims that _ tocilizumab is proved to cure covid19,while, covid19 might cause cough ",real
"Olivia indicates that use decontaminate is helpful to sanitize covid19 virus,at the same time, covid can spread through aerosol ",real
"editor thinks that take Regen-CoV can prevent covid19,while, use Medical surgical masks can prevent the spread of covid19",real
"there is a post on  Bloomberg_News,_ REGIOCIT replacement solution is proved to cure covid19,moreover, covid19 might cause memory concentration problems ",real
"I have seen a post on  Bloomberg_News,covid can spread through airborne ,at the same time, use sterilise is helpful to sanitize covid19 virus",real
"linglin reports that covid19 might cause degeneration of taste ,also, _ actemra is proved to cure covid19",real
"I claims that covid19 might cause Brain infarction ,parallel, covid19 comes from US ",fake
"Charlotte reports that use masks can prevent the spread of covid19,moreover, eat canola oil can prevent covid19",fake
"news from Snapchat,_ garlic is proved to cure covid19,besides, covid19 might cause cancer ",fake
"there is a post on  CNN,use maintaining social distance can prevent the spread of covid19,meanwhile, covid can spread through fecal-oral transmission ",real
"report from Youtube,covid can spread through touch ,while, use helmet can prevent the spread of covid19",fake
"free-lancer indicates that use hand disinfection can prevent the spread of covid19,besides, take Casarivimab+Imdevimab can prevent covid19",real
"I have seen a post on  Bloomberg_News,use decontaminate is helpful to sanitize covid19 virus,besides, use isolation clothing can prevent the spread of covid19",real
"Olivia claims that inject smallpox can prevent covid19,also, vaccine might cause syncope ",fake
"report from Instagram,eat lean meat can prevent covid19,it has also debuted, take aspirin can prevent covid19",fake
"news from tik-tok,inject hpv can prevent covid19,besides, vaccine might cause syncope ",fake
"it reports that use isolation clothing can prevent the spread of covid19,parallel, take Regen-CoV can prevent covid19",real
"Olivia thinks that take lopinavir can prevent covid19,furthermore, use helmet can prevent the spread of covid19",fake
"there is a post on  Snapchat,take zinc can prevent covid19,moreover, eat olive oil can prevent covid19",fake
"there is a post on  CNN,vaccine might cause runny nose ,And, covid19 might cause infertility ",fake
"she claims that take lianhuaqingwen can prevent covid19,besides, use N95 can prevent the spread of covid19",real
"report from tik-tok,covid19 might cause leukemia ,it has also debuted, _ chemotherapy is proved to cure covid19",fake
"editor indicates that vaccine might cause shortness of breath ,in addition, covid19 might cause die ",fake
"report from Bloomberg_News,take Tixagevimab+Cilgavimab can prevent covid19,in addition, use maintaining social distance can prevent the spread of covid19",real
"he claims that covid19 might cause phlegm ,moreover, vaccine might cause ache ",real
"free-lancer claims that vaccine might cause chills ,besides, inject Sinovac can prevent covid19",real
"there is a post on  ABC,_ Fresenius Medical is proved to cure covid19,besides, covid19 might cause degeneration of taste ",real
"according to Instagram,covid19 might cause tinnitus ,in addition, _ dialysis is proved to cure covid19",fake
"news from ABC,covid19 might cause headache ,it has also debuted, _ evusheld is proved to cure covid19",real
"report from Snapchat,_ paxlovid is proved to cure covid19,meanwhile, covid19 might cause memory concentration problems ",real
"according to Snapchat,vaccine might cause syncope ,besides, inject hpv can prevent covid19",fake
"according to Bloomberg_News,_ sauna is proved to cure covid19,while, covid19 might cause deafness ",fake
"according to Snapchat,take Regen-CoV can prevent covid19,parallel, use hand disinfection can prevent the spread of covid19",real
"according to Instagram,covid19 might cause Extreme fatigue ,besides, inject Novavax can prevent covid19",real
"there is a post on  CNN,covid can spread through air ,moreover, use N95 can prevent the spread of covid19",real
"according to Bloomberg_News,inject Johnson can prevent covid19,And, covid19 might cause headache ",real
"report from Instagram,_ Fresenius Medical is proved to cure covid19,besides, covid19 might cause degeneration of smell ",real
"report from Facebook,covid can spread through touch ,at the same time, use helmet can prevent the spread of covid19",fake
"according to CNN,take lopinavir can prevent covid19,in addition, eat lean meat can prevent covid19",fake
"linglin claims that inject Sinopharm/BIBP can prevent covid19,parallel, vaccine might cause difficulty breathingwheezing ",real
"Charlotte reports that covid can spread through saliva ,And, use decontaminate is helpful to sanitize covid19 virus",real
"Olivia reports that use decontaminate is helpful to sanitize covid19 virus,besides, covid can spread through saliva ",real
"editor thinks that _ REGEN-COV is proved to cure covid19,besides, covid19 might cause phlegm ",real
"we indicates that vaccine might cause headache ,meanwhile, inject Covishield can prevent covid19",real
"she thinks that covid19 might cause shortness of breath ,it has also debuted, _ Bamlanivimab is proved to cure covid19",real
"I have seen a post on  Youtube,covid19 comes from China ,in addition, covid can spread through 5G Internet ",fake
"I have seen a post on  tik-tok,covid19 might cause Brain infarction ,it has also debuted, covid19 comes from China ",fake
"there is a post on  tik-tok,covid19 might cause Brain infarction ,also, covid19 comes from China ",fake
"editor thinks that covid19 might cause smell ,while, _ propofol‐Lipuro 1% is proved to cure covid19",real
"I have seen a post on  Instagram,covid19 might cause tinnitus ,while, _ chemotherapy is proved to cure covid19",fake
"I have seen a post on  Bloomberg_News,inject smallpox can prevent covid19,at the same time, vaccine might cause shortness of breath ",fake
"there is a post on  Facebook,covid19 might cause memory concentration problems ,in addition, inject Sinopharm/BIBP can prevent covid19",real
"linglin reports that vaccine might cause chills ,furthermore, covid19 might cause phlegm ",real
"news from tik-tok,use Disinfect is helpful to sanitize covid19 virus,it has also debuted, covid can spread through air ",real
"linglin indicates that covid can spread through hot baths ,besides, use wipes is helpful to sanitize covid19 virus",fake
"free-lancer reports that vaccine might cause loss of smell ,meanwhile, inject smallpox can prevent covid19",fake
"I have seen a post on  tik-tok,use masks can prevent the spread of covid19,in addition, use water is helpful to sanitize covid19 virus",fake
"we claims that covid19 might cause leukemia ,And, inject smallpox can prevent covid19",fake
"it indicates that use masks can prevent the spread of covid19,at the same time, eat tea oil can prevent covid19",fake
"there is a post on  Facebook,use sterilise is helpful to sanitize covid19 virus,at the same time, use maintaining social distance can prevent the spread of covid19",real
"news from Facebook,covid19 might cause tinnitus ,while, vaccine might cause loss of smell ",fake
"according to ABC,covid19 might cause cancer ,while, _ tea is proved to cure covid19",fake
"news from ABC,covid19 might cause cancer ,besides, covid can spread through ovject ",fake
"report from CNN,covid can spread through airborne ,at the same time, use N95 can prevent the spread of covid19",real
"report from Snapchat,take 999 can prevent covid19,additionally, eat milk can prevent covid19",fake
"news from Snapchat,_ dialysis is proved to cure covid19,in addition, covid19 might cause Brain infarction ",fake
"I thinks that use sterilize is helpful to sanitize covid19 virus,furthermore, covid can spread through air ",real
"editor claims that _ garlic is proved to cure covid19,And, covid19 might cause cancer ",fake
"report from Facebook,use sterilize is helpful to sanitize covid19 virus,at the same time, covid can spread through aerosol ",real
"Charlotte indicates that covid19 might cause tinnitus ,while, _ dialysis is proved to cure covid19",fake
"we indicates that use helmet can prevent the spread of covid19,also, covid can spread through touch ",fake
"there is a post on  Instagram,covid can spread through air ,And, use sterilize is helpful to sanitize covid19 virus",real
"I have seen a post on  Bloomberg_News,vaccine might cause shortness of breath ,in addition, covid19 might cause myocardial infarction ",fake
"Amelia reports that take hydroxychloroquine can prevent covid19,And, use hand disinfection can prevent the spread of covid19",real
"I have seen a post on  Snapchat,_ dialysis is proved to cure covid19,furthermore, covid19 might cause acute myelitis ",fake
"according to CNN,covid19 comes from US ,besides, covid19 might cause acute myelitis ",fake
"free-lancer claims that inject Novavax can prevent covid19,besides, covid19 might cause headache ",real
"there is a post on  CNN,_ multiBic/multiPlus Solutions is proved to cure covid19,besides, covid19 might cause diarrhea ",real
"Charlotte reports that take vitamin D can prevent covid19,also, use masks can prevent the spread of covid19",fake
"contributor claims that covid19 might cause deafness ,additionally, _ tea is proved to cure covid19",fake
"there is a post on  Instagram,_ tea is proved to cure covid19,furthermore, covid19 might cause die ",fake
"there is a post on  Facebook,eat canola oil can prevent covid19,parallel, take vitamin D can prevent covid19",fake
"according to ABC,take lianhuaqingwen can prevent covid19,parallel, use isolation clothing can prevent the spread of covid19",real
"news from ABC,use masks can prevent the spread of covid19,meanwhile, use Boiled vinegar is helpful to sanitize covid19 virus",fake
"linglin reports that use sterilize is helpful to sanitize covid19 virus,And, use hand disinfection can prevent the spread of covid19",real
"report from ABC,eat canola oil can prevent covid19,while, use masks can prevent the spread of covid19",fake
"report from Snapchat,use isolation clothing can prevent the spread of covid19,while, take Bamlanivimab+Etesivimab can prevent covid19",real
"contributor claims that _ tea is proved to cure covid19,additionally, covid19 might cause leukemia ",fake
"there is a post on  Snapchat,covid19 might cause Brain infarction ,also, _ garlic is proved to cure covid19",fake
"there is a post on  Snapchat,covid19 might cause cancer ,And, inject smallpox can prevent covid19",fake
"I have seen a post on  Bloomberg_News,eat milk can prevent covid19,moreover, take hydroxychloroquine can prevent covid19",fake
"she reports that _ garlic is proved to cure covid19,at the same time, covid19 might cause Brain infarction ",fake
"free-lancer indicates that take aspirin can prevent covid19,it has also debuted, eat oats can prevent covid19",fake
"I have seen a post on  tik-tok,covid can spread through fecal-oral transmission ,furthermore, use Medical surgical masks can prevent the spread of covid19",real
"report from ABC,covid19 might cause cough ,it has also debuted, _ multiBic/multiPlus Solutions is proved to cure covid19",real
"according to tik-tok,inject Sinopharm/BIBP can prevent covid19,also, covid19 might cause Extreme fatigue ",real
"according to NBC,take Casarivimab+Imdevimab can prevent covid19,also, use maintaining social distance can prevent the spread of covid19",real
"free-lancer reports that covid can spread through 5G Internet ,at the same time, use masks can prevent the spread of covid19",fake
"report from Snapchat,covid can spread through 5G Internet ,furthermore, use masks can prevent the spread of covid19",fake
"news from ABC,use helmet can prevent the spread of covid19,also, covid can spread through mosquito bites ",fake
"she indicates that use Boiled vinegar is helpful to sanitize covid19 virus,And, covid can spread through touch ",fake
"news from Snapchat,vaccine might cause runny nose ,furthermore, covid19 might cause deafness ",fake
"report from Instagram,vaccine might cause loss of smell ,besides, covid19 might cause acute myelitis ",fake
"according to CNN,_ garlic is proved to cure covid19,also, covid19 might cause myocardial infarction ",fake
"according to Bloomberg_News,use N95 can prevent the spread of covid19,additionally, take Tixagevimab+Cilgavimab can prevent covid19",real
"according to Youtube,vaccine might cause loss of taste ,besides, inject smallpox can prevent covid19",fake
"he claims that use isolation clothing can prevent the spread of covid19,meanwhile, covid can spread through saliva ",real
"she thinks that covid can spread through air ,furthermore, use sterilise is helpful to sanitize covid19 virus",real
"Olivia indicates that covid can spread through mosquito bites ,in addition, covid19 might cause die ",fake
"according to Snapchat,covid19 might cause phlegm ,in addition, vaccine might cause Sore ",real
"Daming indicates that use water is helpful to sanitize covid19 virus,in addition, covid can spread through hot baths ",fake
"I have seen a post on  Youtube,covid19 might cause headache ,furthermore, _ sotrobimab is proved to cure covid19",real
"report from CNN,covid19 might cause smell ,while, _ bebtelovimab is proved to cure covid19",real
"Amelia reports that use decontaminate is helpful to sanitize covid19 virus,at the same time, covid can spread through aerosol ",real
"news from Youtube,covid19 might cause leukemia ,furthermore, _ sauna is proved to cure covid19",fake
"according to Facebook,take Casarivimab+Imdevimab can prevent covid19,in addition, use isolation clothing can prevent the spread of covid19",real
"I have seen a post on  ABC,covid19 might cause degeneration of taste ,parallel, _ Imdevimab is proved to cure covid19",real
"according to NBC,covid19 might cause taste ,at the same time, vaccine might cause swollen throattongue ",real
"linglin indicates that inject Johnson can prevent covid19,while, covid19 might cause headache ",real
"report from tik-tok,use decontaminate is helpful to sanitize covid19 virus,at the same time, covid can spread through air ",real
"according to Youtube,use Medical surgical masks can prevent the spread of covid19,And, use decontaminate is helpful to sanitize covid19 virus",real
"report from tik-tok,_ COVID-19 convalescent plasma is proved to cure covid19,moreover, covid19 might cause phlegm ",real
"news from Snapchat,covid19 might cause joint pain ,it has also debuted, _ multiBic/multiPlus Solutions is proved to cure covid19",real
"he indicates that use masks can prevent the spread of covid19,at the same time, eat bread can prevent covid19",fake
"editor thinks that take Bamlanivimab+Etesivimab can prevent covid19,moreover, use goggles can prevent the spread of covid19",real
"according to tik-tok,use isolation clothing can prevent the spread of covid19,And, use Disinfect is helpful to sanitize covid19 virus",real
"news from Instagram,use maintaining social distance can prevent the spread of covid19,additionally, take Bamlanivimab+Etesivimab can prevent covid19",real
"there is a post on  Bloomberg_News,covid19 might cause deafness ,parallel, _ garlic is proved to cure covid19",fake
"Charlotte reports that inject smallpox can prevent covid19,furthermore, vaccine might cause sore throat ",fake
"news from CNN,use masks can prevent the spread of covid19,besides, covid can spread through mosquito bites ",fake
"there is a post on  NBC,_ chemotherapy is proved to cure covid19,And, covid19 might cause deafness ",fake
"there is a post on  CNN,covid19 comes from China ,additionally, covid19 might cause affecting male fertility ",fake
"news from Instagram,covid can spread through airborne ,additionally, use isolation clothing can prevent the spread of covid19",real
"news from NBC,covid19 might cause headache ,additionally, inject Sinopharm/BIBP can prevent covid19",real
"it claims that covid19 might cause deafness ,additionally, _ chemotherapy is proved to cure covid19",fake
"according to ABC,eat fish can prevent covid19,parallel, take ivermectin can prevent covid19",fake
"news from Instagram,covid19 might cause smell ,besides, _ Baricitinib is proved to cure covid19",real
"report from Youtube,use sanitize is helpful to sanitize covid19 virus,at the same time, use isolation clothing can prevent the spread of covid19",real
"Amelia indicates that eat tea oil can prevent covid19,moreover, take zinc can prevent covid19",fake
"Tom claims that use maintaining social distance can prevent the spread of covid19,furthermore, take lianhuaqingwen can prevent covid19",real
"there is a post on  NBC,take hydroxychloroquine can prevent covid19,additionally, use masks can prevent the spread of covid19",fake
"there is a post on  Youtube,covid19 comes from China ,besides, covid19 might cause tinnitus ",fake
"I have seen a post on  Instagram,eat tea oil can prevent covid19,moreover, use helmet can prevent the spread of covid19",fake
"according to Bloomberg_News,use helmet can prevent the spread of covid19,in addition, eat pastries can prevent covid19",fake
"Charlotte thinks that use hand disinfection can prevent the spread of covid19,moreover, take Bamlanivimab+Etesivimab can prevent covid19",real
"it reports that covid19 comes from China ,additionally, covid can spread through ovject ",fake
"I have seen a post on  Bloomberg_News,covid19 might cause sore throat ,at the same time, _ Imdevimab is proved to cure covid19",real
"according to Bloomberg_News,_ Baricitinib is proved to cure covid19,while, covid19 might cause degeneration of taste ",real
"we reports that use hand disinfection can prevent the spread of covid19,moreover, take Casarivimab+Imdevimab can prevent covid19",real
"according to ABC,covid19 comes from US ,parallel, covid can spread through hot baths ",fake
"contributor thinks that eat shrimp can prevent covid19,besides, take zinc can prevent covid19",fake
"he reports that covid19 might cause deafness ,And, covid can spread through mosquito bites ",fake
"there is a post on  CNN,vaccine might cause Myocarditispericarditis ,besides, inject mordena can prevent covid19",real
"news from Youtube,covid19 might cause cancer ,in addition, _ dialysis is proved to cure covid19",fake
"there is a post on  Youtube,covid19 might cause poor appetite ,it has also debuted, _ multiFiltrate PRO System is proved to cure covid19",real
"Daming reports that use Medical surgical masks can prevent the spread of covid19,meanwhile, take lianhuaqingwen can prevent covid19",real
"there is a post on  ABC,covid19 comes from China ,at the same time, covid19 might cause acute myelitis ",fake
"Tom reports that covid19 might cause headache ,besides, _ Etesevimab is proved to cure covid19",real
"it claims that _ garlic is proved to cure covid19,additionally, covid19 might cause leukemia ",fake
"according to Instagram,covid can spread through saliva ,furthermore, use sanitize is helpful to sanitize covid19 virus",real
"she thinks that _ garlic is proved to cure covid19,besides, covid19 might cause leukemia ",fake
"linglin claims that covid19 might cause phlegm ,in addition, vaccine might cause fever ",real
"there is a post on  NBC,vaccine might cause sore throat ,also, inject smallpox can prevent covid19",fake
"free-lancer indicates that covid can spread through hot baths ,at the same time, use wipes is helpful to sanitize covid19 virus",fake
"free-lancer claims that use Boiled vinegar is helpful to sanitize covid19 virus,meanwhile, use helmet can prevent the spread of covid19",fake
"Charlotte reports that use helmet can prevent the spread of covid19,moreover, eat yogurt can prevent covid19",fake
"Amelia claims that use wipes is helpful to sanitize covid19 virus,in addition, covid can spread through touch ",fake
"I have seen a post on  ABC,_ evusheld is proved to cure covid19,meanwhile, covid19 might cause degeneration of smell ",real
"linglin indicates that use sterilize is helpful to sanitize covid19 virus,besides, use hand disinfection can prevent the spread of covid19",real
"we claims that covid19 might cause infertility ,at the same time, _ garlic is proved to cure covid19",fake
"news from Snapchat,covid19 might cause chest tightness ,meanwhile, vaccine might cause ache ",real
"news from ABC,covid can spread through airborne ,while, use Disinfect is helpful to sanitize covid19 virus",real
"Amelia thinks that covid can spread through hot baths ,additionally, covid19 might cause leukemia ",fake
"I have seen a post on  Snapchat,use Boiled vinegar is helpful to sanitize covid19 virus,And, use masks can prevent the spread of covid19",fake
"report from ABC,vaccine might cause headache ,moreover, covid19 might cause joint pain ",real
"editor indicates that use N95 can prevent the spread of covid19,it has also debuted, use decontaminate is helpful to sanitize covid19 virus",real
"report from Facebook,use decontaminate is helpful to sanitize covid19 virus,meanwhile, covid can spread through airborne ",real
"there is a post on  tik-tok,vaccine might cause fever ,moreover, covid19 might cause memory concentration problems ",real
"according to Bloomberg_News,inject pfizer can prevent covid19,while, covid19 might cause taste ",real
"I have seen a post on  NBC,use Medical surgical masks can prevent the spread of covid19,besides, take lianhuaqingwen can prevent covid19",real
"linglin indicates that _ Bamlanivimab is proved to cure covid19,besides, covid19 might cause degeneration of taste ",real
"news from Bloomberg_News,inject hpv can prevent covid19,additionally, vaccine might cause shortness of breath ",fake
"according to CNN,use hand disinfection can prevent the spread of covid19,And, take lianhuaqingwen can prevent covid19",real
"she reports that covid19 might cause deafness ,additionally, covid can spread through ovject ",fake
"she claims that take vitamin C can prevent covid19,additionally, eat banana can prevent covid19",fake
"report from Youtube,inject Novavax can prevent covid19,moreover, covid19 might cause taste ",real
"it reports that covid19 might cause acute myelitis ,while, _ dialysis is proved to cure covid19",fake
"Charlotte reports that covid can spread through ovject ,additionally, use masks can prevent the spread of covid19",fake
"it thinks that use sterilize is helpful to sanitize covid19 virus,besides, use N95 can prevent the spread of covid19",real
"linglin claims that take Bamlanivimab+Etesivimab can prevent covid19,while, use goggles can prevent the spread of covid19",real
"we indicates that covid19 might cause affecting male fertility ,additionally, inject smallpox can prevent covid19",fake
"Daming claims that covid can spread through fecal-oral transmission ,moreover, use Disinfect is helpful to sanitize covid19 virus",real
"report from Youtube,covid can spread through mosquito bites ,while, covid19 comes from China ",fake
"he indicates that covid19 comes from US ,meanwhile, covid19 might cause acute myelitis ",fake
"I have seen a post on  ABC,vaccine might cause headache ,And, covid19 might cause degeneration of smell ",real
"I have seen a post on  Bloomberg_News,vaccine might cause ache ,also, covid19 might cause headache ",real
"Charlotte indicates that _ lagevrio (molnupiravir) is proved to cure covid19,moreover, covid19 might cause Extreme fatigue ",real
"we indicates that take Casarivimab+Imdevimab can prevent covid19,in addition, use N95 can prevent the spread of covid19",real
"news from tik-tok,covid19 might cause leukemia ,it has also debuted, _ sauna is proved to cure covid19",fake
"according to Snapchat,take Regen-CoV can prevent covid19,moreover, use hand disinfection can prevent the spread of covid19",real
"I have seen a post on  tik-tok,_ Bamlanivimab is proved to cure covid19,in addition, covid19 might cause degeneration of taste ",real
"free-lancer thinks that vaccine might cause headache ,besides, covid19 might cause shortness of breath ",real
"Olivia indicates that covid can spread through 5G Internet ,also, use water is helpful to sanitize covid19 virus",fake
"news from Bloomberg_News,inject smallpox can prevent covid19,besides, covid19 might cause myocardial infarction ",fake
"she reports that use water is helpful to sanitize covid19 virus,while, covid can spread through ovject ",fake
"according to CNN,use Boiled vinegar is helpful to sanitize covid19 virus,furthermore, covid can spread through hot baths ",fake
"news from Youtube,eat banana can prevent covid19,besides, take aspirin can prevent covid19",fake
"free-lancer indicates that take Regen-CoV can prevent covid19,additionally, use goggles can prevent the spread of covid19",real
"I have seen a post on  Bloomberg_News,_ garlic is proved to cure covid19,it has also debuted, covid19 might cause tinnitus ",fake
"I have seen a post on  Instagram,vaccine might cause vomit ,additionally, covid19 might cause tinnitus ",fake
"there is a post on  Bloomberg_News,use Disinfect is helpful to sanitize covid19 virus,parallel, use maintaining social distance can prevent the spread of covid19",real
"news from Facebook,covid19 might cause phlegm ,it has also debuted, _ propofol‐Lipuro 1% is proved to cure covid19",real
"there is a post on  Youtube,vaccine might cause swollen arms ,furthermore, covid19 might cause chest tightness ",real
"report from Facebook,_ Baricitinib is proved to cure covid19,while, covid19 might cause sore throat ",real
"report from tik-tok,covid19 might cause Brain infarction ,besides, covid19 comes from US ",fake
"news from Bloomberg_News,covid19 might cause cancer ,parallel, _ dialysis is proved to cure covid19",fake
"we reports that _ Fresenius Medical is proved to cure covid19,moreover, covid19 might cause memory concentration problems ",real
"Charlotte claims that covid19 comes from China ,in addition, covid19 might cause infertility ",fake
"I have seen a post on  NBC,covid19 might cause acute myelitis ,meanwhile, covid19 comes from US ",fake
"contributor indicates that covid19 might cause taste ,parallel, vaccine might cause ache ",real
"I reports that inject Sinopharm/BIBP can prevent covid19,moreover, vaccine might cause Sore ",real
"report from CNN,use sanitize is helpful to sanitize covid19 virus,while, covid can spread through airborne ",real
"I have seen a post on  Snapchat,inject smallpox can prevent covid19,it has also debuted, covid19 might cause infertility ",fake
"contributor reports that covid19 might cause cough ,furthermore, _ paxlovid is proved to cure covid19",real
"there is a post on  Snapchat,inject smallpox can prevent covid19,furthermore, covid19 might cause cancer ",fake
"Daming reports that use goggles can prevent the spread of covid19,also, take hydroxychloroquine can prevent covid19",real
"she thinks that _ REGEN-COV is proved to cure covid19,And, covid19 might cause degeneration of taste ",real
"Tom reports that use wipes is helpful to sanitize covid19 virus,in addition, covid can spread through 5G Internet ",fake
"Tom reports that _ garlic is proved to cure covid19,in addition, covid19 might cause myocardial infarction ",fake
"report from Instagram,take vitamin D can prevent covid19,furthermore, use helmet can prevent the spread of covid19",fake
"he thinks that covid19 might cause affecting male fertility ,besides, _ chemotherapy is proved to cure covid19",fake
